オッズパーク いちいちIDとかを入れないと入れない前のアプリの方が使い勝手が良かった。
沢山お気に入りに入れていると、遡ってクリックして戻るとまた先頭に戻ってしまう…そのまま遡っていきたいのに！
毎回スタート地点に戻るとか本当に困る…"
出品者です。 "発送方法のところで、定型のフォーマットを保存できるようにしてほしいです。毎回手入力なのは面倒…、わたしの使い方が悪いだけで保存する方法があるのでしょうか…？
画像の加工もできないので、他のハンドメイドアプリと比較して使い勝手が悪いです。"
梱包の 梱包時のサイズまで記入しないといけないのですが、自宅で測るものとかなかったりするので困っています。
作家側の意見として "理不尽なクレーマーの方がいらっしゃいます。こちらもお客様を選べるようにブロック機能を付けて頂きたいです。また、著作権法に引っかかるような作品も取り締まることはなく無法地帯です。マスクの販売が一時的に販売禁止されている間もマスクの販売をしている方が多数見られますが全く取締る事もなく、何の為の禁止なのか、きちんと販売自粛している作家さん達に対して失礼だと思います。
送料の設定は、色々な作品を販売している作家からすると、作品に見合った設定をしているのに、数点別の商品で購入されると損する場合もある。また、多く頂いた場合は返金しますが、送料も含め手数料が取られるので作家側は大変損をします。色んな面で問い合わせをしても毎回定型分の返答しか来ないので、基本同じ内容の返答です。解決にもなりません。作家仲間が同じように問い合わせしても定型分の返答しか来ないと言っていますので、少し対応考えられた方がいいと思います。minne出品の作家いなくなりますよ。

良い点
ただ、出品方法は難しくないので出品はしやすい。"
写真の順番 "ステキなアプリなのに、最近作品の登録写真の順番が勝手に変わってしまい、
何度もやり直す必要があり手間になっているので改善お願いします。"
ややこしい "Apple Payで購入をしたあとに、
アカウントにログインできていないことに
気づいたのですが、
Apple Payに登録していた情報が古いものだったので、一度キャンセルを希望しました。
ただ作家様とお話ししたさいに、ゲスト購入は、キャンセルが作家側ですることが、できないという、回答でした。
無料で登録できるのに、ゲスト購入ってそもそもいるのでしょうか？
支払いを押したら「ログインは、こちら」のような、形の方が利用しやすいです。"
正確なレビューが伝わらない "殆どのレビューが星５つで、どれも、
可愛い。素敵。とザックリした感想が多く、
具体的なレビューは見当たりません。

星をつけたくない。といったレビューも稀にありますが、その殆どは作家さんが逆ギレ気味に反論。そしてお決まりの、ハンドメイドなので多少の誤差…云々。

私自身も先日初めて、星をつけたくない作品を購入してしまいました。作家さんには、その旨をメッセージにて伝えてましたが、レビューはしませんでした。
作家さんに不利な事でも、事実をきちんとレビューするべきだと思うのですが、作家さんの立場からすると、レビューじゃなくて、直接言ってくれれば良いのに…。と思う方が多いのではないかと考えてしまいます。

ハンドメイドとは言えどもお金を頂く以上は、それなりの作品とそれに見合った金額設定、誤解のない作品の説明や画像添付をお願いしたいです。また、不本意なレビューがあった場合でも、真摯に受け止めていただきたいことと、
材料の詳細、(切りっぱなしになっています。生地は２枚重ねになっています。)などの詳細と画像添付を義務づけてほしいです"
ブロック機能と通報機能を "販売者側です。販売を開始して一年半、
誹謗中傷してくるクレーマーに初めて遭遇しました。
ミンネさんに相談しましたが、「当事者同士で解決して下さい」とのことです。

しかし、刑法に違反している発言も見られたため、ミンネさんも仲介してくださりませんので、このまま続くのであれば警察に被害届を出そうと思っています。

悪いレビューを書くと脅され、販売者側は購入者側の言いなりです。営業妨害されるような写真まで投稿されました。
メッセージのやりとりを見て頂き、ミンネさんの方で悪質と判断した場合、その購入者は利用停止して頂きたく思います。もちろん、販売者側が悪質であれば、その逆も然りです。

また、ブロック機能を作って頂きたいです。
更に、同じ住所で二つのアカウントを作成できないようにして欲しいです。
別のアカウントで、嫌がらせで購入し、また悪いレビューを書かれる可能性もあります。
こちらがそんな心配をしてしまうほど、常識から外れた方々もいるのだと知りました。

正直なところ、今安心して作品作りができません。何年も策略を練って、本当に努力して一生懸命作品を作っているので、とても残念です。作家ではなく、購入者サイドに優しいサイトかなと思います。"
特集が同じ人ばかりで飽きる ハンドメイドが好きで色々新しい作家さんを知りたいのに特集では、なんか毎回同じ作家さんばかりのってる。特集から新しい作家さんを見つけたいので違う人のせてください。飽きる。今までトラブルはないので安心して買い物してます。
困る… 会員登録のメールアドレスが間違っています、と言われ購入することができません。どうすればいいですか？
最近、読み込みに時間がかかります "iOSが13になって以降、アプリの読み込みに時間がかかります。
完全に全部表示されるのに1分近くかかるときもあります。"
検索機能を使いやすくして "検索機能が使いづらく
時間がかかる"
メッセージ "メッセージ書いても作者に届かない？ 返事は返ってきません。 サイト側がもっとフォローして欲しいわ"
振込手数料高い… "振込手数料が高いです。
千円以上で自動振込されてしまうのではなく自分のタイミングめ振込できるように変えてほしいです。
二.三千円の売上金では振込手数料がもったいないです。"
残念なアプリです "Wi-Fiが無いと見ることが出来ません。
外出先Wi-Fiのない場所 (4G)では 必ず
「ネットワークに接続できません…」と言った表示になり ウンザリします。
他のアプリは全く問題なく使えているのに…

似たようなアプリは沢山あるし、他のアプリと重複した作家さんは沢山いるので正直 必要性を感じなくなって来ています。"
いい加減 "Yahoo IDでログインエラーになるの治してくれませんか？"
ちょっと物足りない 記事内容や画像が拡大出来ると良いのですが…。
バージョンアップしたら ようこそ、を含めた４画面から抜けられません。どうしたら良いのか？
お金引き落として届かない商品も "良い商品もあり何度か応援購入しました。
しかし、昨年頼んでお金引き落としになったのに届かない商品があり、メーカーにメール送ったが反応無いので、マクアケにもメールを2度送ったが「問い合わせするのでお待ちください」のメッセージが届いてから2ヵ月以上(涙)"
コロナ以降は "あきらかにインチキくさい除菌系が増えた。
がっかりです。"
画像が拡大できない "色々と買わせて（支援させて）もらっています。
タンブラーの色味や素材の感じを確認したかったのですが、
スマホだと生地、金属面などの細かな表面加工、グラデーションなどの詳細を確認したくても小さな画像しかなかったり、画像が拡大できなくて細かな加工などが画像で確認できない。画像保存してからなら拡大できるかなと思ったが画像の保存もできない。
iPadも一応表示できるけどこれもスマホサイズで拡大できず。
問い合わせで送ってもらった高画質画像も小さく表示されて拡大できず。結局、細かな金属加工は確認できなかった。

プロジェクトは中にはすでにアマゾンで売っているようなものもあるので検索はした方がいいかも。"
ホント商品到着まで 兎に角遅い！
iOS12にアップデートしたら、ログインできなくなった "iOS12にアップデートしたら、ログインできなくなりました。

追記
レビューを書いて1年後に回答されても遅すぎますね。それともここ最近回答するようになったのでしょうか。
結局のところiOS12の時はログインできなくなってからは使用していません。iOS13になって、久しぶりにアプリを使いましたが、ログインはできるようです。"
最新版が これまでの支援履歴が表示されません。いちいちログインしなければならないし、宣伝臭が凄い。前の仕様に戻してほしい
広告通知が邪魔 "通知を許可すると、メッセージが来た時だけでなく、毎日広告が送られてくるのが非常に邪魔。
広告は送らないで欲しい。"
iPad用のUIになってない iPadで閲覧できますが、メリットがほぼないです。バージョンアップ期待しています。
まずは iPad対応のための資金でも募れば？
そもそも見れない。 "wi-fi通信下のはずなのに度々通信エラーが出るので見ることもままならない。他のアプリは問題なく使えているので仕様の問題？
残念。"
ipad ipadに対応して欲しい。
メールがまぁダメ "色々注目のアイテムを紹介するメールを送ってくるのは良いが、メールを開いて気になったアイテムをsafari等で開くと「アプリで開く」みたいなバナーが画面下部に出るが、コレがまぁダメ。
アプリストアからアプリを開くだけ。
何無駄な作業させてんの？"
勝手にログアウト "アプリを使用中、突然勝手にログアウト。でもmyタグの通知は来る。なんでしょう一体。 
応援メッセージの書き方もわかりにくかった。
色々見直された方がよいのでは？

追記
相変わらず使用中に勝手にログアウト。
ログイン状態から支援しようと申し込みタップ→いつの間にやらログアウト、ログインしても再びログイン画面にというループが二、三度続いたことも。
もちろん面倒になって支援やめました。
アプリがプロジェクトを邪魔するということもあるよということで。"
アプリとしては良いが "アプリとしては使いやすくとても良いと思いますが、最近プロジェクトの質が悪いものが多いように感じます。
いざ品物が届いて使ってみると、プロジェクトページで書かれていたような内容が誇大広告としか思えない物だったりということがあり、掲載までに適正な審査がされているのか正直疑問です。"
ログインできません "7月頃からiOS12パブリックベータでこのアプリでログインしようとするとログインできません。再起動しても、ダメでログインできませんでしたの表示しかされない。アプリを削除、再インストールすれば初期画面は表示されるもののログインはできず。
iOS12正規版がリリースされても症状は変わらない。"
ログインできません iOS12にアップデートしたらログインボタンを押してもSNS連携とかID・パス入力画面に移ることなく、ログインに失敗しました、と表示されます。
ログイン出来ない iOS12にしたらログイン出来なくなりました。
新規プロジェクトタブ希望 "新規プロジェクトのタブが欲しいです。
今はそれがないので、結局ブラウザから確認しています。"
この商品を見る の表示がすごく邪魔。
不満点 "他フリマアプリに比べて見やすいのはいいです。
よく使わせてもらっていますが
バグは頻度が多く不便です。
メンテナンスなのか分からないですが
繋がりにくくなっておりますと
メンテナンスなら夜中にやってほしいものです…
問い合わせに本人確認書類が必要なのも
フリマアプリなのに…と
ちょっと意味が分からないです。
クレカの作成くらいですよ
ネットに本人確認書類なんて
問い合わせに必要なのは意味が分からず
気持ち悪いです。
免許証や健康保険証なんてかなり大切な書類ですし
流出したら責任取れるのでしょうか。
ベ○ッセも過去に個人情報を流出させて
500円クーポンで誤魔化していましたが
バグも多いですし
あまり信用ならなくて少し不安です。"
素人なので 購入した商品に菓子くずが付いていたけれど、個人情報を知られているから怖くてクレームできない。
遅い 届くのが遅すぎる。手数料無駄に取る割にはだいぶ遅いですね。取るならば取るなりに早く届けろって感じがしてたまらない。
便利ですが…… "便利ですが、発送致しましたとの連絡があり、出品者様も発送完了を押して｢購入者の受け取りをお待ちください｣になっている状態であるのにも関わらず こちらには発送通知が届かなくてシステムがおかしいのかな？ということでお問い合わせしました。

ですが、出品者の問題だからそちらに通知をおこないました。
との返事が帰ってきました

ちゃんと読んでいるのか疑問に思いました
出品者様も対応をしてくださっていますが
通知が来ないから受け取りもできない中
システムの話を利用者に任せますか、？？

改善お願いします。"
メルカリムカつく💢 "メルカリというサービスは評価する、けど、このサービスは元々ヤフオクが存在していた。それほど斬新なサービスではない。
買う側も売る側も利用者さえ多けりゃメルカリでもヤフオクでも構わないサービスということは認識して欲しい。
売り手として一番言いたいことは送料と手数料だろう。
送料に関してはAmazonが元祖売り手負担だから、買い手を増やす手法だろう。
正直メルカリの方が楽天より売り手から反発喰らうアプリじゃないか？
手数料に関しては正直高杉。10%の手数料は業界最高だろう。
さらに、振込申請にも前は1万以上で有れば手数料なしが、今は200円もかかる。
お前ら10%取ってるのに、さらに振込手数料はひどいだろう。
一言で言うと「最低」。"
改善後の評価について "こういったレビューを書くのは始めてで至らない点が多いとは思いますが目を通していただけると幸いでございます。

評価改善がされた後に、何件か取引を行いました。その中では『良い』でも『悪い』でもない状態の取引が何件かありました。
どちらかと言えば…で評価をつけましたが、やはり評価の『普通』を戻して欲しいです。

全てが良い悪いで解決できるとは思いません。
普通評価を悪く思う人の意見を尊重したのは存じてはおりますが、私は『悪い』の評価がつくより、『普通』の評価が付いた方がマシです。
今回もメルカリさんを利用させてお取引を行いましたが、またどちらとも言えない状態のお取引です。
評価を付けるのに非常に困ってしまいます。

また、過去100件の取引も以前のバージョンの方が好きでした。過去の悪い評価のせいで、などの人の意見を取り組んだのも承知しておりますが、私個人としては過去全て(現在含め)の評価が見られるからこそ安心して取引を進められるんだと思います。悪いの評価の内容も我々人間なので分かります。無言の場合とコメントがあるだけでも大きな違いです。

上手く文字におこせたかは分かりませんが、バージョンを戻していただきたいです。"
広告表示多すぎ "アプリを開くと大抵広告表示がバーンと出るのがイライラします。
いちいち「閉じる」をしないといけないのがウザい。
口座を連携させたいのがミエミエでウンザリ。
絶対したくないと思わせるようなしつこさ。

お知らせ通知のみにしてくれませんか？？？

なので、それが☆-3になってます。"
直近100件 直近100件のせいで、変な人を見抜けなくなりました。自衛出来ません。普通評価は基本的に「悪い」の部類だというのが大体の共通認識であると思っていました(普通評価が多い人とは取引したくない方が多い)が、それも「良い」に分類されるのはなんだかなぁと
UIが悪い 久々に利用しようとしたところ、どのような手続きを踏めばアカウントが復帰できるのかわかりにくい。何度も問い合わせをせねばならず、非常に面倒くさい。
転売促すメルカリは違法！ "出品のところに今まで購入してきたものを売りませんかと促すメルカリ設定は、コロナでマスクを高額転売している人と中身は同じ！
あまりにも出品者をないがしろにしすぎ！

メルカリは法人として違法行為！"
画像が表示されない 1ヶ月前のアップデートから、商品画像が一切表示されなくなりました。今後はもう使わないと思います。
誤作動で通知が来る "購入、コメント、フォローしている人の出品などどれにも当てはまらないのにも関わらず誤作動で通知が来ます。
大変迷惑です(ᯅ̈ )"
重たい、画像見えない 最近、動きが遅くて画像が映らずストレスしかない
独自の悪質ルール "メルカリ便で2点を一緒に送ってもらったら、同梱したからとお品がダメになっても宅急便のお品の保証なし。クロネコにも何も言うなと悪質対応。宅急便の意味ある？メルカリ悪質。
売り買いしやすいから使っているけど、そうじゃなかったら1番嫌いなサイト。"
ブランド違いが多い タトラス、と調べているのにTKが出てくるなど虚偽のブランド申請をしているユーザーが非常に多く、またヤフオクなどと比べブランド名で調べても全く関係ないブランドが多く出てくるので虚偽申請している出品の取り締まりと、検索の精度を上げて欲しいです。。非常に使いにくいです。
いろんな人が居ますね 普通に購入しても　挨拶がない、、、とかでディスリつきで低評価されたり　コメントのやり取りの途中を知らずに購入ボタンを押してしまっても低評価されたり、暗黙のルールを何も知らない初心者にとっては気分がわるいイメージでした。
広告が とても邪魔
文字入力の反応が悪い "取引の内容についてはアプリそのものの評価と言っていいかわかりませんので(運営にしっかり取り締まって欲しいとは思いますが…)触れないでおきますが、アプリの反応が悪い時があります。
特に、取引画面のメッセージ入力のテキストボックス内が反応が悪いです… 押しても数秒経たないと文字が入力できないことが多いです。また、iPhoneは入力カーソルを動かせるかと思いますが、その反応もとても悪いです…
いつか改善されるかと思って待っていましたが、一向に治らなず地味にストレスなので書き込みます。"
使い易いアプリではあるが、ルールの緩慢さが目立つアプリでもある。 何件かの割合で、商品を受け取っても受け取り評価をしないユーザーがいるが、そういったユーザーに何の対応もしない職務怠慢な運営陣が残念。受け取り評価なんて１０秒あったら出来る。厳罰化するべき。
検索履歴 "だいぶ前から検索履歴が消えません。何回消しても前に検索した同じ商品の名前がアプリを切ってまた開いた頃には戻って新しく検索した商品は勝手に消されてて意味わかんないです。
どうにかしてください"
使いにくくなった‼︎ "前は検索後もスワイプすれば戻れたのに今は上のみでしかスワイプで戻れなくなったのが不便！
検索履歴が少なくなって保存するほどでもない検索はそのうち消え、また入力しなくちゃいけないのが不便！
前の使用に戻してほしい！マジで戻して！！！"
転売ヤーが多すぎる 転売ヤーが多すぎます。明らかに転売目的で購入し発売直後に売っている人が多すぎる、転売が少しでもなくなるように通報やアカウントの停止など対策をしっかりして欲しい
落ちる "最近になってメルカリが急に落ちるようになりました。最初はこちら側の問題かと思い、インターネット環境を整備し直したり、一度アンインストールしてみましたがなんの変化もありません。
すぐに落ちてしまうのでお取引もスムーズに行えません。
早急に改善お願いします。"
アプデ多すぎ めんどくさい
マナーが悪い利用者が多いメルカリ "これまでオークションで
1000件以上の取引をしてきましたが
こちらも利用するようになり
便利に使っています。

オークションほど品数は無いですが
掘り出し物が出ていたりするので
時々使っています。

ただ、購入希望者が
購入するのでと言って
取り置きを希望しておきながら
購入しないと言うことが2回ほどあり、
気分の悪い思いをしました。

それとか、
自分のことしか考えてないような
大幅な値引き要求をしてくる人がいるので
ここで取引している人はマナーが悪い人多いなと感じます。

後、評価変更ができないと言うのも
不満に感じた点ですね。"
初めてのメルカリ発送ではらはら "初めてのメルカリ便発送でしたので値引きし過ぎの感があり、 マイナスになりそうではらはらしました。"
情報を搾取されてる "取引等のシステム自体には不満なく使わせていただいています。
メルペイの銀行設定や本人確認が何度やってもエラーが出たり申請が通らず困っています。
口座番号などの情報を搾取されて登録が進まないのが怖いです…改善お願い致します。"
手数料の高さ　と　ペットの有無 "以前の評価方式にもどしてください！！！
普通評価がなければ、評価後のトラブルが続出します。トラブルがあって今後は取引したくない相手こそ、悪い評価をすると怒鳴ってきます。かと言って良いをつけられる相手ではないので困ります。
日本人は特に悪い評価を嫌うので、普通評価が限りなく悪いに近い評価だと、評価コメントを見れば理解できます。ですので普通評価は大きな役割があるのです。
運営の方々、よろしくお願い致します。

以下、以前までのレビューを載せておきます。

手数料が高い。出品時は転売屋以外赤字になる。

必須項目欄にペットの有無の欄を設けて欲しい。アレルギーもあるし、毛の混入などがあるので事前に知りたい。

横取りする奴が多すぎる。
腹が立つ。人間性がない人が多い。"
値下げ交渉中、知らぬ間にトラブル "コメント欄にて値下げ交渉中に、他の人が即購入してしまうという事態が頻発しています。こういった事態にならないシステムを変えていただくことはできないでしょうか？
すぐに気づくことが出来なかった場合、キャンセルボタンを押すことができません。即購入されるとコメント欄に記入できないので、購入出来なかった相談者の方に申し訳ない思いをさせてしまったのに、謝ることもできません。

例えば、コメント欄で交渉している人と、購入者が違う利用者だった場合、そのことを注意喚起、指摘してくれる機能を付けるとか…あと、コメント欄はずっと書き込みができるようにして欲しいです。ご検討お願いします。

購入者も販売者も不快にならないシステムになることを願います。"
フリマなのだからある程度の個人ルールはあるべき。 フリマアプリとしてすごく便利だとは思います。アプリを利用するうえでの基本的なルールはあるのは当然です。しかしフリマアプリと言えどフリマであることには変わりありません。フリマである以上ある程度の個人ルールを認めるべきでは？キャンセル不可、支払いまでの期日など、この程度の個人ルールをなぜ認めないのでしょうか？意味がわかりません。
なぜエアガンも "年齢制限の追加により20歳以上ではないとエアガン の購入もできなくなりましたメーカーの対象年齢は18以上なのになぜでしょうか？"
酷い チケット転売など出品者が儲ける為にあるアプリ。相場がわからない人はやんない方がいい。安く買えたとしても出品者がキャンセルしだす始末。
評価表示を元通りにしてください "いつもメルカリを利用しています。
とにかく評価表示を元通りにしてください。今まで良い評価になるよう頑張ってきました。その実績内容が直近100件だと今までの努力が意味ありません。なんの為に実績を積んできたか分かりません。元通りにしてください。切実に。"
いまいち らくまの方が使いやすい。
ニュースソースの選択をユーザー側で可能になるように 多くのソースにリンクしている仕組みは評価できますが、読者側でソースを選択できる機能が追加されると更に効果的な情報アプリになると思います。中には一部の偏った情報を意図的に掲載しているように思われるソースもあり、不快な印象を与えかねない例も散見されています。
コロナマップ "役に立つかと思いきや、更新は遅い為役には立たない。
もちろん報告される人数の全てが場所を特定できているわけでは無いでしょうから地図上に全てを反映させるのは難しいでしょう。
ですが、ではその旨を提示しているのかといえばそうではない。
地図を見る限りその数は存在していないことになっている。
せめて「場所不明のため確認された数字を併記する」などとして地図の隅にでも記載しておくと良いように思う。
しかしながら、苦労もあるだろうと思い☆2つ"
アカウント削除早くして "iPhoneでアカウント削除が出来ない件、なかなか不具合解消しない。
iPad Air でも同じで、アプリを一旦削除しても解消しない。
機能アップは頻繁に行うのに、不具合解消はやる気がないのか？いいアプリなのに残念です。"
広告が…… 最近、どんどん広告の面積が広くなってきて、ニュースが読みにくくなってきてるように感じるので、評価を下げます。
最新のニュース "古い記事をいつまでも掲載しておかないで欲しい。
最新のニュースが欲しいから入れているのに、いつまでも古い記事が入っていて勘違いしてしまう。"
以前に戻してほしい "韓国の芸能ニュースは不要。昔は出て
こなかったが。"
記事の写真が表示されない事が多い iPhone7を使っているが記事の写真が表示されない事が多い。直接リンクに飛んでも尚表示されない事も多い。
ブラックリストが欲しい 特定の文字列を含む記事を表示しないというオプションが欲しい
ログアウトが無いなんて "ログインしたら？みたいなことで、ログインしたが、あまり意味がなさそうなので、ログアウトしたかったが、無い！
そんな機能もつけてないなんて、バグじゃなくて、確信犯だろ。
削除します。"
続きが読めない しばらく操作しないとトップページに戻るので続きを読みたいときに不便
トップニュースの記事を選択できるようにして欲しい "トップニュースの中に個人のブログやレベルの低い報道機関の記事が掲載されているため見たく無い記事まで見えてしまいます。特に某特定の国の報道機関の悪意ある日本語版がしつこく表示されるのが不快でなりません。誤ってクリックするとさらにしつこく増えてしまう。

広告の非表示のようにせめて見たくないニュースソースを選択できるようにして欲しいです。"
不愉快な記事も非表示不可 他の方のレビューにもありますが、トップタブは非表示不可にも関わらず、感情を逆撫する不快な記事が満載。これだけでアンインストールしたくなる。よくある質問を見たら、特定の記事や媒体を非表示に出来ないのは仕様とある。
不安なことが ニュースが豊富。かつ雨雲レーダーが便利で重宝してます。しかしながら、スマホセキュリティーにひっかかり不安です。
お天気が… アプデでお天気が使いにくくなった。時間軸が中央にくるように変わってしまい、時間をずらすのに指で画面が隠れて、見えない。今までみたいに下に表示して
クーポン "ニュースなど見やすくて良いですが、クーポンは不満しかないです。正直、欲しい商品が対象にならない。
あと吉野家無料クーポン当たった人います？
一向に当たる気配無いです。"
UI変更 "最近UIが新しくなりました。
下に検索ボタン置くなら上の検索窓要らなくない？
設定ボタンとかも全部下に統合すれば表示領域広がるのに。"
重要なニュースがリアルタイムに来ない "トップニュースがトップニュースではない。世の中で大きく話題になるような情報がリアルタイムに出ることはないし、出てもだいぶ遅れてでてくる。トップニュースなのに毎日同じトピックばかり出てきて読み物としては面白くてもニュースアプリとして機能しない。一度気になってある記事を見るとそれからずっと関連記事ばかりが出てくる。勝手にカスタマイズされない機能が欲しい。もしくは、あなたにオススメって別のカテゴリを作ればいいのに。
その時は見たかったかもしれないけど、その後も見たいわけじゃないし、興味あるからといって他の重要なニュースが見たくないわけじゃない。どうでもいい記事ばかりなので暇つぶしとしては良いがニュースアプリとしては使い物にならない。"
配信記事を選択させて欲しい 共同通信と時事通信だけは削除してほしいです。または、選択式にして欲しいです。まともな記事書かない人達だから。裏をとっての記事ではないから、誤解を生み易い。記事を書いてる人が見えないというのが怖いなと感じます。
ニュース以外のタイムリーな情報には弱いですね。 "話題のニュースは良いですが、
他の記事は、2、3日遅れですね。
タイムリーな情報なら読んだ時には終わっているものが多いです。"
広告が鬱陶しい 雨雲がすぐにわかると言うので入れてみましたが、とにかく広告が鬱陶しい。記事の合間、合間に入ってるので、イラッとします。
記事がザ、マスコミ "記事が他のマスコミ、ネットニュースと
変わらない
読んだ人の不安を煽るように思う
例えば、コロナ感染者数だけでなく
その背景にある軽傷者数や検査を受けた方の内容を伝えていない気がする

クーポン抽選してもまず当たらない"
雨雲レーダー改悪 ど真ん中に今後の雨量が来てとても見づらくなった。しかも動かせない。改悪。他のアプリより雨雲見易かったのに
設定で "不快に感じる、見出しすら見たくない記事元は個人の判断で非表示にできるようにしてほしい。
開くことがないのにトップに表示される率が高くて非常に不快。"
愛用していますが、 "1. ニュースの更新は自動だけでなく自分のタイミングで更新出来るようにして欲しいです。
ニュース見てる途中で自動で記事が更新されるとニュース一覧の最初から見直しになるのでストレス溜まります。
2. 横画面と縦画面表示が切り替わる度に、最上部ニュースにスクロールが戻ってしまいます。途中までスクロールしながらニュース見てたのに、不意に一番最初に戻ってしまう度にストレスを感じてしまいます。"
誤字脱字が散見されます 日に日に誤字脱字が多くなってる、有るのが普通になってきています。
急に起動すらしなくなった アップデートしてからなのか、アプリのホームにたどり着かなくなった。
んー "ファミチキ全然当たらない
天気予報とか見れて良いと思うのに"
開かない "急に開けなくてなったから、削除して再インストールしたらインストールすらできない、、、
アイホン6はもう対応してないのかな？"
古いニュースが多い "トップニュースに様々なニュースが表示されますが、株式とか株式、期間限定のお得情報など、古いニュースが多く表示されて意味のないニュースを読む無駄な時間も結構あります。
掲載終了日時等を設けて、その時点で意味のあるニュースを表示するようにして欲しい。"
クーポンの抽選 "ニュースはなかなかいい感じ！
クーポンの無料抽選、これまで300回くらい挑戦したけど未だに当選した事ない…

「抽選で50万名様」1週間だから1日約7万名は当選

そんなに1日に抽選やってる人いるのか？
